player_id,nume,data_nastere,varsta,nationalitate,club,pozitie,picior_dominant,inaltime_cm,greutate_kg,bmi,ani_experienta_pro,scor_fitness,valoare_piata_eur
P001,Lionel Messi,1987-06-24,38,Argentine,Inter Miami,CAM,Stang,170,72,24.91,21,70.7,25000000
P002,Cristiano Ronaldo,1985-02-05,41,Portuguese,Al Nassr,ST,Drept,187,83,23.74,24,57.7,15000000
P003,Kylian Mbappé,1998-12-20,27,French,Real Madrid,ST,Drept,178,73,23.04,10,80.0,180000000
P004,Erling Haaland,2000-07-21,25,Norwegian,Manchester City,ST,Drept,194,88,23.38,8,82.0,180000000
P005,Pedri,2002-11-25,23,Spanish,FC Barcelona,CM,Drept,174,60,19.82,6,66.4,120000000
P006,Vinicius Jr,2000-07-12,25,Brazilian,Real Madrid,LW,Drept,176,73,23.57,8,77.0,150000000
P007,Rodri,1996-06-22,29,Spanish,Manchester City,CDM,Drept,191,82,22.48,12,74.1,90000000
P008,Jude Bellingham,2003-06-29,22,English,Real Madrid,CM,Drept,186,75,21.68,5,70.2,180000000
P009,Phil Foden,2000-05-28,25,English,Manchester City,CAM,Drept,171,69,23.6,8,85.2,150000000
P010,Bukayo Saka,2001-09-05,24,English,Arsenal,RW,Stang,178,72,22.72,7,61.3,150000000
P011,Lamine Yamal,2007-07-13,18,Spanish,FC Barcelona,RW,Stang,180,65,20.06,1,78.4,120000000
P012,Florian Wirtz,2003-05-03,22,German,Bayer Leverkusen,CAM,Drept,176,70,22.6,5,83.2,130000000
P013,Gavi,2004-08-05,21,Spanish,FC Barcelona,CM,Stang,173,60,20.05,4,56.1,80000000
P014,Jamal Musiala,2003-02-26,23,German,Bayern München,CAM,Drept,183,70,20.9,6,75.5,130000000
P015,Federico Valverde,1998-07-22,27,Uruguayan,Real Madrid,CM,Drept,182,78,23.55,10,78.0,90000000
P016,Aitana Bonmati,1998-01-18,28,Spanish,FC Barcelona,CM,Drept,163,57,21.45,11,76.5,40000000
P017,Harry Kane,1993-07-28,32,English,Bayern München,ST,Drept,188,86,24.33,15,78.5,80000000
P018,Mohamed Salah,1992-06-15,33,Egyptian,Liverpool,RW,Stang,175,71,23.18,16,61.0,50000000
P019,Kevin De Bruyne,1991-06-28,34,Belgian,Manchester City,CAM,Drept,181,68,20.76,17,56.8,40000000
P020,Virgil van Dijk,1991-07-08,34,Dutch,Liverpool,CB,Drept,193,92,24.7,17,72.7,45000000
P021,Trent Alexander-Arnold,1998-10-07,27,English,Real Madrid,RB,Drept,175,69,22.53,10,77.3,80000000
P022,Ruben Dias,1997-05-14,28,Portuguese,Manchester City,CB,Drept,187,76,21.73,11,76.2,80000000
P023,William Saliba,2001-03-24,25,French,Arsenal,CB,Drept,192,82,22.24,8,83.9,90000000
P024,Alisson Becker,1992-10-02,33,Brazilian,Liverpool,GK,Drept,191,91,24.94,16,66.2,50000000
P025,Thibaut Courtois,1992-05-11,33,Belgian,Real Madrid,GK,Drept,199,96,24.24,16,68.7,40000000
P026,Manuel Neuer,1986-03-27,40,German,Bayern München,GK,Drept,193,93,24.97,23,61.8,10000000
P027,Marc-André ter Stegen,1992-04-30,33,German,FC Barcelona,GK,Drept,187,85,24.31,16,74.5,30000000
P028,Antoine Griezmann,1991-03-21,35,French,Atletico Madrid,CAM,Stang,176,73,23.57,18,79.7,25000000
P029,Lautaro Martinez,1997-08-22,28,Argentine,Inter Milan,ST,Drept,174,72,23.78,11,61.3,90000000
P030,Dusan Vlahovic,2000-01-28,26,Serbian,Juventus,ST,Stang,190,88,24.38,9,84.3,70000000
